symbol,close,rsi14,sma50,sma200,macd,macd_signal,atr14,ta_score,news_x_score,x_only_score,total_score,decision,target_pct_delta,ta_reason,nx_detail
BTC-USD,113645.8125,99.99999999999973,,,956.649619664182,364.9041351668611,2345.357832673887,-0.15,-0.06,0.0,-0.105,Hold,0.0,Below SMA50; Momentum positive (MACD>signal); RSI14=100.0,NewsSent=-0.09 from 10 headlines; XSent=+0.00 from 0 posts.
ETH-USD,4064.3759765625,99.99999999999403,,,36.93980332028195,12.906753903117892,160.55635239213075,-0.15,-0.06,0.0,-0.105,Hold,0.0,Below SMA50; Momentum positive (MACD>signal); RSI14=100.0,NewsSent=-0.09 from 10 headlines; XSent=+0.00 from 0 posts.
SOL-USD,199.03785705566406,99.9999999999142,,,3.3747694679863685,1.385699922924579,9.084111825370234,-0.15,-0.06,0.0,-0.105,Hold,0.0,Below SMA50; Momentum positive (MACD>signal); RSI14=100.0,NewsSent=-0.09 from 10 headlines; XSent=+0.00 from 0 posts.
ADA-USD,0.6749328970909119,97.61300387968396,,,0.008093608975709765,0.0030947138936882426,0.032014687608823526,-0.14,-0.06,0.0,-0.099,Hold,0.0,Below SMA50; Momentum positive (MACD>signal); RSI14=97.6,NewsSent=-0.09 from 10 headlines; XSent=+0.00 from 0 posts.
XRP-USD,2.626671552658081,99.99999999403606,,,0.043064799186965264,0.01519892217825338,0.10121704840327443,-0.15,-0.06,0.0,-0.105,Hold,0.0,Below SMA50; Momentum positive (MACD>signal); RSI14=100.0,NewsSent=-0.09 from 10 headlines; XSent=+0.00 from 0 posts.
