symbol,close,rsi14,sma50,sma200,macd,macd_signal,atr14,ta_score,news_x_score,x_only_score,total_score,decision,target_pct_delta,ta_reason,nx_detail
BTC-USD,113661.3203125,99.99999999999973,,,957.8867101200158,365.1515532580279,2345.357832673887,-0.15,-0.06,0.0,-0.105,Hold,0.0,Below SMA50; Momentum positive (MACD>signal); RSI14=100.0,NewsSent=-0.09 from 10 headlines; XSent=+0.00 from 0 posts.
ETH-USD,4066.962646484375,99.9999999999941,,,37.14614735963369,12.948022710988239,160.55635239213075,-0.15,-0.06,0.0,-0.105,Hold,0.0,Below SMA50; Momentum positive (MACD>signal); RSI14=100.0,NewsSent=-0.09 from 10 headlines; XSent=+0.00 from 0 posts.
SOL-USD,198.97364807128906,99.99999999991385,,,3.369647383762725,1.3846755060798503,9.084111825370234,-0.15,-0.06,0.0,-0.105,Hold,0.0,Below SMA50; Momentum positive (MACD>signal); RSI14=100.0,NewsSent=-0.09 from 10 headlines; XSent=+0.00 from 0 posts.
ADA-USD,0.6749460697174072,97.6136619181085,,,0.008094659783521307,0.003094924055250551,0.032014687608823526,-0.14,-0.06,0.0,-0.099,Hold,0.0,Below SMA50; Momentum positive (MACD>signal); RSI14=97.6,NewsSent=-0.09 from 10 headlines; XSent=+0.00 from 0 posts.
XRP-USD,2.6278436183929443,99.99999999406569,,,0.043158297308264704,0.015217621802513268,0.10121704840327443,-0.15,-0.06,0.0,-0.105,Hold,0.0,Below SMA50; Momentum positive (MACD>signal); RSI14=100.0,NewsSent=-0.09 from 10 headlines; XSent=+0.00 from 0 posts.
