symbol,close,rsi14,sma50,sma200,macd,macd_signal,atr14,ta_score,news_x_score,x_only_score,total_score,decision,target_pct_delta,ta_reason,nx_detail
BTC-USD,113531.0078125,52.132672753195926,114242.64484375,108794.08046875,-1301.802326583187,-1534.883389026264,3561.467345160418,0.667,-0.073,0.0,0.234,Hold,0.0,Uptrend (close > SMA200); Momentum positive (MACD>signal); RSI14=52.1,NewsSent=-0.09 from 10 headlines; XSent=+0.00 from 0 posts.
ETH-USD,4055.31787109375,49.459722728289094,4237.417744140625,3270.2779125976563,-91.7272091863706,-102.37884511930866,208.77974183392757,0.677,-0.073,0.0,0.238,Hold,0.0,Uptrend (close > SMA200); Momentum positive (MACD>signal); RSI14=49.5,NewsSent=-0.09 from 10 headlines; XSent=+0.00 from 0 posts.
SOL-USD,198.626220703125,49.44673226469565,213.3631433105469,177.32434215545655,-5.9350447231222745,-7.1449607159502575,12.07345913743382,0.677,-0.073,0.0,0.238,Hold,0.0,Uptrend (close > SMA200); Momentum positive (MACD>signal); RSI14=49.4,NewsSent=-0.09 from 10 headlines; XSent=+0.00 from 0 posts.
ADA-USD,0.6737412810325623,44.336094769747085,0.7865946674346924,0.7424544528126716,-0.04040119137015763,-0.04544682572447643,0.048339037254828764,-0.205,-0.073,0.0,-0.115,Hold,0.0,Downtrend (close < SMA200); Momentum positive (MACD>signal); RSI14=44.3,NewsSent=-0.09 from 10 headlines; XSent=+0.00 from 0 posts.
XRP-USD,2.627291679382324,51.89916031141572,2.7769755125045776,2.6059408456087114,-0.07917103827559968,-0.11256884590955395,0.14978313331880094,0.668,-0.073,0.0,0.234,Hold,0.0,Uptrend (close > SMA200); Momentum positive (MACD>signal); RSI14=51.9,NewsSent=-0.09 from 10 headlines; XSent=+0.00 from 0 posts.
