symbol,close,rsi14,sma50,sma200,macd,macd_signal,atr14,ta_score,news_x_score,x_only_score,total_score,decision,target_pct_delta,ta_reason,nx_detail
BTC-USD,113599.109375,99.99999999999973,,,952.924014251068,364.1590140842384,2345.357832673887,-0.15,-0.06,0.0,-0.105,Hold,0.0,Below SMA50; Momentum positive (MACD>signal); RSI14=100.0,NewsSent=-0.09 from 10 headlines; XSent=+0.00 from 0 posts.
ETH-USD,4064.43994140625,99.99999999999403,,,36.944905928900425,12.907774424841588,160.55635239213075,-0.15,-0.06,0.0,-0.105,Hold,0.0,Below SMA50; Momentum positive (MACD>signal); RSI14=100.0,NewsSent=-0.09 from 10 headlines; XSent=+0.00 from 0 posts.
SOL-USD,199.10745239257812,99.99999999991455,,,3.3803212327544543,1.3868102758781962,9.084111825370234,-0.15,-0.06,0.0,-0.105,Hold,0.0,Below SMA50; Momentum positive (MACD>signal); RSI14=100.0,NewsSent=-0.09 from 10 headlines; XSent=+0.00 from 0 posts.
ADA-USD,0.6748703122138977,97.60987248811219,,,0.008088616449908104,0.0030937153885279103,0.032014687608823526,-0.14,-0.06,0.0,-0.099,Hold,0.0,Below SMA50; Momentum positive (MACD>signal); RSI14=97.6,NewsSent=-0.09 from 10 headlines; XSent=+0.00 from 0 posts.
XRP-USD,2.6265361309051514,99.99999999403262,,,0.043053996312087506,0.015196761603277828,0.10121704840327443,-0.15,-0.06,0.0,-0.105,Hold,0.0,Below SMA50; Momentum positive (MACD>signal); RSI14=100.0,NewsSent=-0.09 from 10 headlines; XSent=+0.00 from 0 posts.
